/en/d/d0/Mt._Juliet,_Tennessee_Seal.gif: (result:false, lastLocation:816, lastRead:815, symbol: ( [ CommentExtension DataBlock* ZeroBlock ] [ GraphicControlExtension? TableBasedImage CompressedDataBlock* ZeroBlock ] [ GraphicControlExtension? PlainTextExtension DataBlock* ZeroBlock ] [ ApplicationExtension DataBlock* ZeroBlock ] )*, sequence:  Header89a LogicalScreenDesc GraphicControlExtension TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock  ZeroBlock)
/en/3/3b/Christiane_rinner_-_AMEN.gif: (result:false, lastLocation:816, lastRead:815, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc  ApplicationExtensionDataBlock  ZeroBlock )
/en/3/3c/Oldworldboot.gif: (result:false, lastLocation:19, lastRead:18, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc )
/en/3/39/Lr310807-grave-justice.gif: (result:false, lastLocation:789, lastRead:788, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/9/96/Colloquy.gif: (result:false, lastLocation:804, lastRead:803, symbol: ( [ CommentExtension DataBlock* ZeroBlock ] [ GraphicControlExtension? TableBasedImage CompressedDataBlock* ZeroBlock ] [ GraphicControlExtension? PlainTextExtension DataBlock* ZeroBlock ] [ ApplicationExtension DataBlock* ZeroBlock ] )*, sequence:  Header89a LogicalScreenDesc  TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock  ZeroBlock)
/en/9/96/Point_location4.gif: (result:false, lastLocation:630, lastRead:629, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension CommentExtensionDataBlock  ZeroBlock ApplicationExtensionDataBlockZeroBlock TableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock )
/en/9/98/Syrloop.gif: (result:false, lastLocation:941, lastRead:940, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc  ApplicationExtensionDataBlock  ZeroBlock CommentExtensionDataBlockZeroBlock )
/en/9/9e/Keynote_icon.gif: (result:false, lastLocation:82, lastRead:81, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header87a LogicalScreenDesc GraphicControlExtension TableBasedImageCompressedDataBlock)
/en/9/97/Lr310807-grave-andrew.gif: (result:false, lastLocation:789, lastRead:788, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/f/fa/Pgtransparent.gif: (result:false, lastLocation:980, lastRead:979, symbol: ( [ ZeroBlock ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock )
/en/f/fa/Queenanne.gif: (result:false, lastLocation:789, lastRead:788, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/f/fb/MONEYTALKS1982.gif: (result:false, lastLocation:781, lastRead:780, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header87a LogicalScreenDesc )
