/commons/0/0a/76th_Maintenance_Wing.png: (result:false, lastLocation:53, lastRead:52, symbol: ( [ IDAT ] ), sequence:  Signature IHDR  PLTE tRNS bKGD )
/commons/1/14/Animated_PNG_example_bouncing_beach_ball.png: (result:false, lastLocation:29, lastRead:28, symbol: ( [ IDAT ] ), sequence:  Signature IHDR   )
/commons/5/51/Hippocampal-pyramidal-cell.png: (result:false, lastLocation:53, lastRead:52, symbol: ( [ IDAT ] ), sequence:  Signature IHDR pHYs bKGD   gIFg )
/commons/8/8f/Seal_of_KAIST.png: (result:false, lastLocation:61, lastRead:60, symbol: ( [ IDAT ] ), sequence:  Signature IHDR bKGD pHYs tIME tEXt   )
/commons/9/98/FxAnimated64.png: (result:false, lastLocation:29, lastRead:28, symbol: ( [ IDAT ] ), sequence:  Signature IHDR   )
/commons/a/a9/Theviceroyaltyofperu.png: (result:false, lastLocation:61, lastRead:60, symbol: ( [ IDAT ] ), sequence:  Signature IHDR sBIT pHYs tEXt tEXt   )
/commons/d/d4/1.2_The_Jewish_Bolshevism_Image.png: (result:false, lastLocation:61, lastRead:60, symbol: ( [ IDAT ] ), sequence:  Signature IHDR pHYs gAMA cHRM iCCP   )
/commons/e/e0/Arrondissement_de_Toul.PNG: (result:false, lastLocation:45, lastRead:44, symbol: ( [ IDAT ] ), sequence:  Signature IHDR pHYs   vpAg )
/commons/e/e5/Sherborne_-_Dorset_dot.png: (result:false, lastLocation:45, lastRead:44, symbol: ( [ IDAT ] ), sequence:  Signature IHDR oFFs pHYs   )
/commons/e/e7/Bash_screenshot.png: (result:false, lastLocation:53, lastRead:52, symbol: ( [ IDAT ] ), sequence:  Signature IHDR oFFs pHYs   vpAg )
/commons/e/ea/Seal_of_Solomon_009.png: (result:false, lastLocation:53, lastRead:52, symbol: ( [ IDAT ] ), sequence:  Signature IHDR  PLTE tRNS bKGD )
/commons/e/ed/Ukiplogo.png: (result:false, lastLocation:53, lastRead:52, symbol: ( [ IDAT ] ), sequence:  Signature IHDR pHYs gAMA cHRM   )
/en/1/1b/Iscae.png: (result:false, lastLocation:45, lastRead:44, symbol: ( [ IDAT ] ), sequence:  Signature IHDR  PLTE bKGD )
/en/2/2a/Nikas17.png: (result:false, lastLocation:45, lastRead:44, symbol: ( [ IDAT ] ), sequence:  Signature IHDR  PLTE bKGD )
/en/2/2c/Dewittinsignia.png: (result:false, lastLocation:53, lastRead:52, symbol: ( [ IDAT ] ), sequence:  Signature IHDR  PLTE bKGD gIFg )
/en/4/4a/Nikas9.png: (result:false, lastLocation:45, lastRead:44, symbol: ( [ IDAT ] ), sequence:  Signature IHDR  PLTE bKGD )
/en/7/73/Seal_of_delano.png: (result:false, lastLocation:53, lastRead:52, symbol: ( [ IDAT ] ), sequence:  Signature IHDR  PLTE tRNS bKGD )
/en/b/b6/Pedro_Elías_Gutiérrez.png: (result:false, lastLocation:37, lastRead:36, symbol: ( [ IDAT ] ), sequence:  Signature IHDR bKGD   )
/en/e/eb/GMcGrathBowling.png: (result:false, lastLocation:45, lastRead:44, symbol: ( [ IDAT ] ), sequence:  Signature IHDR pHYs   vpAg )
